FSC-H,SSC-H,GPR32 - AF488-H,FoxP3-PE-H,CD19 - PE-CF595-H,IgD - PerCP-Cy5.5-H,IFNg-PE-Cy7-H,FPRL1 - AF647-H,Zombie NIR-H,IL-17 - BV421-H,CD24 - BV605-H,CD27 - BV650-H,FSC-A,SSC-A,GPR32 - AF488-A,FoxP3-PE-A,CD19 - PE-CF595-A,IgD - PerCP-Cy5.5-A,IFNg-PE-Cy7-A,FPRL1 - AF647-A,Zombie NIR-A,IL-17 - BV421-A,CD24 - BV605-A,CD27 - BV650-A,Width,Time
488722,116868,2438.672,660,20606.64,1353.256,-1452.38,2746.411,30595.97,1054.346,945.6868,572.5784,183484,42738,3452.014,865,26710.18,1769.644,-3133.748,4081.219,45867.1,1455.751,3468.112,1091.35,52,11.948
855654,120619,553.4387,380,13495.48,1765.592,-214.4404,2678.359,839.3135,2069.634,1390.716,-662.6832,286091,34084,569.3655,769,17626.64,3127.521,-225.1958,4241.441,1111.294,4510.272,2919.538,-1578.554,53,16.854
430989,135645,5672.299,823,8534.354,150.1632,378.6064,1719.434,3311.037,525.9723,2514.277,646.2547,142038,40216,7830.244,1246,10503.89,252.707,704.1115,3179.731,5269.271,755.1042,4913.121,889.3053,46,17.734
824519,149873,358.2849,907,26982.51,837.4135,342.2359,3824.708,662.3489,-790.69,3024.328,3399.354,282690,42614,306.6476,1363,37841.86,2206.865,551.6609,5402.6,499.5037,-706.9008,5867.128,5079.303,49,24.98
463202,154074,6805.759,1098,19864.23,1129.151,-298.1162,5143.655,280.8594,678.0765,14918.68,-98.84376,162796,43167,9807.567,1800,29277.24,750.544,-250.4661,8605.988,535.072,1216.315,24144.46,395.585,47,26.835
453753,132937,2738.086,821,13622.08,-383.7368,213.3776,3624.402,2592.414,475.2431,8774.222,1108.047,142714,36014,3841.81,1697,20722.3,-275.1849,199.9302,6721.182,4698.786,686.24,16162.27,1419.985,41,31.661
835000,115832,629.1659,748,27611.04,1587.52,-124.9185,2614.132,748.5646,871.231,1570.57,85.15951,279716,32074,1375.818,1581,39012.66,1927.882,-238.3467,4237.907,1315.983,808.3088,2243.945,1159.133,49,44.731
805060,117480,1230.547,505,15449.57,519.4529,-185.8417,3114.226,815.1128,378.7636,3610.408,717.4288,261326,32210,2147.78,926,20377.44,870.7015,-713.6808,5143.588,1905.925,737.2023,6244.525,1029.655,48,53.995
786891,125542,2970.373,524,13637.57,-304.9341,-173.3582,2684.044,2968.239,150.2879,7291.823,1178.639,272184,48912,4984.361,911,18155.99,115.0414,-416.3416,3822.859,4224.613,1045.852,13070.15,1083.968,46,74.946
217583,239485,1843.66,398,8662.283,-274.3316,228.2098,1796.99,205.3982,191.0066,6240.642,1367.153,97674,79533,2509.475,515,14484.6,-706.9433,521.2142,2960.047,-127.6058,594.2732,9443.929,3716.453,47,78.25
824513,194839,2013.01,642,16940.11,5163.171,-555.9242,15223.49,1171.605,964.892,3268.786,-1329.47,291280,57846,2273.219,1060,23521.34,6748.745,-720.4679,24760.52,3001.255,1177.301,5387.461,-949.1829,52,83.382
502680,169114,4311.054,931,13683.39,1192.577,-53.35637,3035.07,4504.146,1377.684,10102.8,-1239.431,213568,57788,5933.142,1868,18583.69,2190.931,-328.4507,5463.088,7190.072,3855.258,19393.71,-2766.959,71,84.596
368727,143998,6133.03,399,12268.66,75.02499,-224.1565,2544.776,1818.355,401.6753,7423.695,879.9872,116305,39351,8903.338,1081,18044.88,-251.0755,-502.0042,4837.234,2719.778,830.1904,13485.28,1706.582,42,88.877
627735,106315,2938.521,344,12453.92,339.2863,348.0116,3021.971,98.44331,583.7039,2394.076,841.2941,218359,29158,4492.193,1147,16635.83,866.4486,564.908,4528.66,71.69267,1577.307,5868.756,1285.83,50,90.901
699949,126456,20174.26,1687,9188.586,1264.673,222.5072,6404.9,648.3109,1003.593,5213.315,371.6972,248666,35770,28574.04,2402,12793.59,1602.608,556.2464,10869.73,307.0557,1416.435,8671.848,1870.369,51,105.53
253055,1168211,54680.24,21627,34784,6428.672,1376.57,-726.5707,7988.191,112819.4,70563.49,4353.723,69314,308180,65465.2,25980,40786.55,7777.532,1418.039,-320.5055,12228.41,143785,93133.12,5243.349,32,114.147
390952,226028,2575.708,670,14596.94,208.2365,600.0411,945.8494,16019.55,1104.924,3613.502,-275.9164,130610,67752,4218.581,1663,22422.46,146.9276,666.5234,1992.321,23374.09,1584.835,5210.791,833.9364,46,123.879
