FSC-H,SSC-H,GPR32 - AF488-H,FoxP3-PE-H,CD19 - PE-CF595-H,IgD - PerCP-Cy5.5-H,IFNg-PE-Cy7-H,FPRL1 - AF647-H,Zombie NIR-H,IL-17 - BV421-H,CD24 - BV605-H,CD27 - BV650-H,FSC-A,SSC-A,GPR32 - AF488-A,FoxP3-PE-A,CD19 - PE-CF595-A,IgD - PerCP-Cy5.5-A,IFNg-PE-Cy7-A,FPRL1 - AF647-A,Zombie NIR-A,IL-17 - BV421-A,CD24 - BV605-A,CD27 - BV650-A,Width,Time
557692,106287,8056.701,871,13188.7,1987.361,310.791,4066.048,4239.425,-40.68107,9081.122,12.38137,187509,32790,11618.79,1528,20359.17,2334.449,915.4046,7403.684,5835.107,-864.9874,15442.16,1286.9,52,5.013
440190,202469,980.7199,835,23284.6,1102.808,-373.4416,1570.001,1454.51,874.5461,14414.65,402.1143,180092,62941,1345.546,1204,35433.18,2323.511,-1181.199,1596.198,2883.204,2035.818,26364.26,1535.093,52,17.886
560574,210828,289.8334,484,12375.57,45.28207,-273.2168,1926.678,1266.546,476.3492,19530.06,1272.484,203000,66002,214.4549,748,18785.14,-509.4297,-298.2818,4330.075,1946.49,-1193.882,34009.53,3800.163,55,32.938
901029,117537,611.6396,739,26386.98,5839.105,-160.1306,3769.791,399.1978,-743.4272,5647.979,1678.12,301017,33519,1218.79,1529,37908.2,8748.142,222.1808,7797.772,1116.953,-2399.106,9951.94,3177.384,51,65.874
541754,105911,343.6274,105,16451.7,951.0135,-179.0253,4517.528,575.0162,-529.1386,16717.18,1718.435,171657,29538,565.5622,215,23430.48,1762.049,-187.844,7047.057,481.6558,-606.005,31600.78,2902.467,46,82.059
987300,147837,3750.745,1100,33202.39,2911.764,26.13778,9274.821,407.684,574.4803,34818.73,3141.618,351268,47303,5695.754,1984,47419.67,4077.639,783.6706,15549.71,1010.097,-869.2637,63378.63,6012.048,58,97.897
493196,152868,9292.764,1318,21648.4,748.4214,122.918,8980.198,1226.285,-633.9001,26063.18,2020.89,172670,48293,14848.88,2537,31965.41,1528.04,385.5648,14471.68,2767.822,-3101.203,49959.43,5460.107,52,117.808
1172847,245370,950.4235,666,24608.32,-213.157,-158.0688,856.3524,428.8731,276.083,5672.487,6552.009,411496,80703,1249.824,1356,35226.48,-944.9703,-20.51429,1954.869,582.5564,-172.3302,11552.61,10913.22,56,123.909
973359,112503,592.9579,743,16521.41,3177.97,-151.4299,6174.125,597.2139,-474.3942,4570.949,1597.465,324445,33148,427.3609,1411,23743.17,4834.995,-9.837514,8965.105,488.6895,-1194.581,8366.305,2725.732,55,129.017
492591,130906,1772.873,359,10634.56,1316.304,409.2273,6914.432,2358.734,-901.0334,37510.08,4484.353,181341,38391,2797.305,660,16527.08,2415.001,281.257,12295.8,3464.019,-3304.35,70825.12,6992.589,49,130.927
491490,58720,1139.794,1044,35565.91,1805.785,13.89002,3871.229,326.1777,410.6321,5874.572,-8.789381,193219,18145,2247.757,2012,57083.55,2637.614,93.68068,5449.463,482.6112,-297.2487,13084.38,1034.694,56,139.776
581719,252680,12780.16,1393,4521.709,485.643,-139.9912,956.727,1400.734,681.0272,1192.431,3125.313,215067,90218,19133.75,2736,8695.996,1209.821,-197.0531,1685.636,2975.855,960.5966,3954.848,5665.953,61,164.822
523559,159024,1688.821,591,25595.55,664.2439,88.05389,2458.844,259.5468,1580.449,14095.88,584.8496,203887,48942,2654.033,1229,40311.44,1219.185,540.07,4018.899,821.9622,1900.685,26491.29,636.1512,53,165.474
902571,154705,1207.383,743,35787.64,-707.1044,58.7865,4439.471,762.3635,376.5157,27448.55,1302.718,304225,47478,2127.669,1835,52807.93,-1883.102,214.7053,8156.516,740.9159,-297.0523,47906.96,3654.978,53,176.044
780386,112703,335.7087,367,16628.28,1584.306,47.55102,1525.928,430.7079,620.1638,2679.246,-104.2104,274699,32574,211.9232,1001,23330.76,2513.067,619.9698,2249.217,723.8771,436.0377,3937.42,1480.495,52,176.866
1196168,204313,3090.152,1609,54102.87,2736.31,-197.6797,7137.871,262.7768,753.5644,28916.04,7952.831,434964,67953,3677.981,2512,76713.94,4067.078,-428.7499,12539.73,-291.7819,-663.9946,54176.1,14991.59,58,177.387
678332,152144,737.3746,867,31231.06,-8.700211,223.966,382.928,467.0969,-3.460423,4454.215,1251.955,254445,45948,1087.615,1649,46002.12,-19.3206,-140.2974,793.7727,1581.367,-1550.515,7760.797,2760.253,58,191.274
960465,95998,2718.687,543,11097.2,1566.611,-297.5331,4107.333,134.191,33.18996,11814,1350.994,338905,27445,3955.54,793,16219.92,2038.798,-284.0338,8173.528,-344.9232,-1477.066,22397.41,2179.542,54,223.014
546696,207626,1116.816,528,17318,820.2593,-64.49738,1206.268,473.2967,4.979888,13261.7,2887.537,224528,62136,1668.632,806,24918.99,1023.922,28.90611,1773.773,1386.984,-387.5877,22044.7,7299.264,52,230.001
895302,161532,2116.291,936,35977.18,456.0985,63.59143,9459.258,698.1156,-246.883,18111.55,3621.831,295356,44897,2880.919,1674,50084.4,1452.198,548.3487,15892.84,172.8823,-2650.087,35463.68,5848.77,46,230.629
1018746,153461,1316.356,641,26744.38,366.6659,6.128798,3491.787,880.2,1861.319,17901.07,3031.791,378884,54321,1591.841,1088,35576.73,987.9745,124.4257,5031.755,2141.212,2821.844,36051.18,3629.515,59,237.509
539762,147515,2416.369,952,26940.23,3417.339,146.2543,7441.55,3960.592,607.739,15052.69,606.9621,192136,44447,3874.606,1070,43578.21,5168.349,1067.387,11587.53,5912.082,741.9326,26925.64,2524.839,51,239.315
1019929,204992,1442.225,1181,54560.07,3785.52,-496.6858,15251.85,340.5668,1927.212,22124.31,2807.387,364273,68605,1842.174,2105,75400.02,7491.822,-1052.061,25086.51,411.1223,1430.757,40502.11,6608.913,56,242.336
936172,144397,739.8046,610,26488.16,1382.883,175.5738,2770.901,382.829,-396.639,2009.869,2390.185,319703,42168,1593.074,1259,36613.8,2585.121,845.7722,5079.911,406.5981,-359.517,6535.18,1307.767,55,259.449
1060017,146691,1187.921,791,32552.94,7106.175,-168.2624,7828.099,597.8992,1508.372,9734.355,129.1389,384456,46015,1840.91,1852,49975.71,10890.25,47.20395,13774.4,77.25948,3532.478,17514.85,542.9822,55,267.051
837337,158174,1626.471,326,18872.35,-141.71,-129.0754,698.762,909.5565,1658.704,1659.46,7285.729,310608,39321,2673.816,323,28169.65,195.8129,-451.51,81.12828,2367.177,1598.099,3336.576,14249.56,47,268.547
570912,134002,5954.366,632,14483.82,4669.529,756.2186,9252.418,2745.521,708.6122,10018.88,1263.104,195269,42175,8398.585,1260,22152.06,6866.651,1322.695,17602.35,4512.825,1003.257,16196.66,2219.329,51,299.345
872153,133827,1366.567,708,30887.61,1001.806,147.2615,3493.532,598.2285,-145.2055,2826.457,2135.363,295243,39606,2813.391,1178,41835.46,2494.05,745.3691,5869.987,556.7482,279.7436,7494.116,1882.32,54,308.423
885328,100949,5887.703,1067,21753.97,395.1375,-285.9425,4873.546,963.2751,-232.5183,22331.81,3495.075,326295,39963,8209.677,1562,32311.65,698.0004,-163.3954,7418.338,2784.956,-1332.397,43280.27,5466.339,60,309.602
909302,142230,687.9168,1150,38249.34,4968.615,104.6899,11070.72,357.3028,-289.8189,6938.509,3079.406,317718,44669,804.8872,2097,53381.39,9851.95,228.5487,18725.17,185.0778,92.62192,16039.03,1996.716,55,310.508
834787,106841,1472.507,213,17778.57,5577.948,-391.279,7726.588,160.8474,1018.755,9537.195,-1055.657,285040,29284,2500.473,373,26400.93,7693.074,-349.6026,12951.16,490.6477,237.9381,17566.8,-4.422528,52,313.664
975351,188966,3563.219,1047,34441.3,219.0929,-245.615,4341.059,678.0419,709.2314,24061.48,8963.981,350359,63239,6005.154,1973,52460.45,318.1695,-12.28665,7744.48,1086.15,1232.89,44318.16,15178.54,58,321.316
666127,179898,1793.69,623,32030.58,6201.848,64.57684,7361.348,317.5693,754.3912,10613.83,593.0347,244925,54470,3402.717,1015,46832.12,10162.14,-100.9386,12142.88,1368.192,694.0494,18240.14,1829.506,58,336.981
493374,155357,1179.301,414,20113.32,4275.457,387.9125,6994.027,640.2212,-390.3397,8833.563,563.037,189726,45542,1882.984,853,30043.64,7051.1,935.1843,11231.35,1388.796,-666.931,17341.45,314.5001,50,357.215
866051,131382,807.0124,714,37508.93,2006.53,-98.36382,4371.406,109.1612,1490.305,9046.983,1078.349,333411,41984,1269.169,868,58786.75,2447.676,256.8269,7045.921,69.98492,1949.725,15127.02,5588.14,59,369.583
670211,207761,1253.806,496,13106.16,281.1379,66.04095,1589.744,1571.345,899.5829,8738.559,448.2634,214578,69526,2821.352,1184,21539.42,223.0603,-178.7634,2921.378,3858.26,-508.4431,16321.7,3127.709,48,400.303
982913,241577,865.9853,522,24541.36,927.0464,-240.1143,1061.448,778.3714,1580.364,3575.09,1606.444,326750,74086,2047.635,793,35241.72,1479.562,-67.35432,2586.346,1675.125,1476.411,6279.028,3007.209,51,408.694
1269667,288786,587.3671,624,27599.9,43.77618,249.8207,1567.618,457.5441,515.745,21905.69,8300.42,447976,96910,860.452,515,40810.21,11.81393,253.926,3119.106,1890.437,1231.785,41147.94,13586.15,59,418.96
926523,146434,1315.306,1518,55627.87,3602.308,-16.9922,4857.897,1118.935,774.2398,18000.63,3189.626,337192,47133,2015.659,2437,83007.41,5192.329,-161.1957,7741.114,2306.172,887.09,35346.2,5574.816,56,421.859
441331,249009,1644.584,853,16063.04,-87.85226,277.02,6458.372,1649.234,365.407,60597.63,7600.156,159999,80857,3442.674,1485,23988.01,634.0588,418.5361,13529.41,3799.576,-17.59995,122550.9,14337.94,51,424.69
362690,199400,1134.695,624,35278.38,4193.553,-102.2311,5198.036,533.0497,1067.553,12467.64,-231.9588,139030,61463,1969.108,1541,56189.9,5623.778,-0.7621733,9583.338,844.9219,2417.313,23010.03,-12.35422,50,425.202
594016,72404,2339.459,350,16793.97,736.3025,17.46232,3347.126,651.9753,-153.0617,1534.863,862.7419,177960,10855,3402.753,801,23651.46,1299.693,105.3856,6287.176,1586.349,-2146.124,3929.024,1424.853,38,430.566
602169,171670,1882.941,623,19876.06,659.4154,-166.979,2026.602,601.6545,-576.1115,12056.34,1038.224,199140,52480,2849.706,1220,28977.51,331.5029,289.1662,2556.875,905.4315,-2363.724,24015.43,2759.675,53,431.919
