FSC-H,SSC-H,GPR32 - AF488-H,FoxP3-PE-H,CD19 - PE-CF595-H,IgD - PerCP-Cy5.5-H,IFNg-PE-Cy7-H,FPRL1 - AF647-H,Zombie NIR-H,IL-17 - BV421-H,CD24 - BV605-H,CD27 - BV650-H,FSC-A,SSC-A,GPR32 - AF488-A,FoxP3-PE-A,CD19 - PE-CF595-A,IgD - PerCP-Cy5.5-A,IFNg-PE-Cy7-A,FPRL1 - AF647-A,Zombie NIR-A,IL-17 - BV421-A,CD24 - BV605-A,CD27 - BV650-A,Width,Time
443273,143075,382.4531,268,6311.053,609.2561,-2.364401,3351.673,780.8147,-288.4911,5948.497,1256.711,145099,40650,343.8886,758,9021.562,1453.978,-40.1388,4329.485,1535.902,-440.2034,9983.913,1358.06,51,32217.646
313670,173585,1460.498,303,4334.277,277.1897,308.9466,1175.754,1316.283,139.9415,1594.349,331.0347,108457,54951,1790.034,774,6304.106,142.2857,197.6292,2632.406,2130.24,-599.8281,2120.304,1541.46,53,32246.469
502462,204825,604.0237,207,12772.39,1052.967,350.4949,1282.471,352.3551,150.7041,1618.728,518.6768,203894,64871,1355.318,626,19986.67,2601.522,1040.745,1949.154,-13.80366,202.9095,4335.713,-535.0051,60,32280.023
449981,136182,499.4681,149,4474.638,917.517,124.0775,1226.233,109.3333,246.6598,2583.692,106.0656,147981,40025,836.4282,414,6814.816,1072.825,461.2036,1936.446,406.1166,644.4512,3729.521,1330.965,52,32282.266
256496,120189,765.6382,385,5314.699,710.8329,83.08483,2558.676,1634.134,1191.929,1145.073,906.4447,98890,43640,1371.155,882,7492.514,995.4891,1114.74,4301.724,3722.388,1492.933,4025.345,2104.861,57,32367.574
367533,212414,833.2011,243,14809,1823.17,50.79187,2521.835,937.711,113.1088,8166.855,1914.478,129183,69324,1462.478,301,20422.19,2845.137,724.5468,3967.201,1463.379,2.185472,13273.26,5318.556,54,32397.223
328729,160861,480.8158,225,20235.03,1385.855,-55.15096,3176.064,592.4657,405.0869,4748.79,-570.8032,114081,49727,782.0297,472,30138.88,1575.449,29.95665,5257.322,1412.168,636.8365,5781.351,830.1501,53,32429.262
394863,192945,250.9126,358,3884.838,438.0727,-127.1318,159.3649,534.7865,755.9905,300.9048,-202.9003,187108,78334,714.0494,1295,6592.715,673.1594,-86.10077,-703.0975,61.27206,1321.391,1387.952,-119.0828,64,32437.277
306547,191032,259.5686,152,16731.04,807.0309,-21.28983,1139.012,559.8982,662.1807,2011.092,-1071.701,113670,59025,693.5491,441,25723.21,742.9882,58.25491,1911.301,1345.604,-1404.799,2328.198,418.6835,53,32447.801
735968,174617,305.3842,577,19739.34,-284.8729,-13.13985,1923.937,1241.71,1172.051,8890.151,4296.59,284591,54727,326.8244,873,27445.46,-536.7906,98.55289,4086.204,1985.752,1420.157,16295.54,7371.177,62,32529.078
270613,125021,727.5497,621,17951.54,3133.234,70.91347,2948.322,1411.208,511.3093,1772.229,-605.4387,108246,43776,1178.085,1034,25500.66,4088.857,865.9068,4757.116,1879.709,174.88,1848.245,258.9618,56,32743.342
