FSC-H,SSC-H,GPR32 - AF488-H,FoxP3-PE-H,CD19 - PE-CF595-H,IgD - PerCP-Cy5.5-H,IFNg-PE-Cy7-H,FPRL1 - AF647-H,Zombie NIR-H,IL-17 - BV421-H,CD24 - BV605-H,CD27 - BV650-H,FSC-A,SSC-A,GPR32 - AF488-A,FoxP3-PE-A,CD19 - PE-CF595-A,IgD - PerCP-Cy5.5-A,IFNg-PE-Cy7-A,FPRL1 - AF647-A,Zombie NIR-A,IL-17 - BV421-A,CD24 - BV605-A,CD27 - BV650-A,Width,Time
1053051,168449,15245.29,1431,15563.37,3923.033,61.15377,9741.005,860.3462,529.5768,1624.062,-29.80786,347709,46121,19793.46,2004,20647.58,6750.692,527.2358,15579.28,1123.362,356.2997,4131.933,-588.0668,46,3.4
636170,103722,897.1032,262,12847.02,354.4025,59.18131,2094.952,64.22866,136.3242,7274.952,-133.2044,205330,27915,1266.782,753,16509.92,1562.182,268.7648,4337.749,131.5301,-127.6916,11743.24,-1114.696,46,12.491
951730,195045,256.9999,221,16808.21,-319.3736,58.70058,538.4217,897.1177,509.1282,3229.587,1019.503,325058,59002,401.6875,293,23900.73,-562.1934,265.8278,1718.01,1203.3,908.412,5567.291,1862.587,51,14.009
407209,240305,2135.974,641,19505.36,9238.297,185.6981,15910.19,1330.269,-17.57498,15979.47,114.2252,176066,76341,3558.732,1050,32280.76,13646.04,641.8851,28659.63,2515.769,-843.4114,30372.76,2799.837,55,37.293
515092,245543,594.6517,513,22705.6,5624.534,170.3973,5632.061,1471.54,1137.569,5407.523,642.7295,210184,78430,1178.747,1020,35395.14,9603.782,-97.51324,9228.163,2895.476,2711.606,11175.93,756.3676,57,43.436
463844,210826,948.918,484,12888.68,1170.109,149.7518,4407.499,1114.586,638.3071,8284.498,766.3621,173462,60976,1174.94,730,20000.77,1425.799,280.4594,7304.937,2371.921,1557.137,13694.9,2162.944,44,60.066
815882,181615,666.4309,889,30382.6,2015.931,-27.77731,4705.546,1110.715,-2.445876,7309.088,2816.267,304689,58340,936.1906,1952,42956.33,4338.018,-68.0791,8481.11,1064.686,-1171.249,14930.08,3563.498,60,78.271
694563,202765,2518.599,680,20384.88,2160.792,-357.5497,3146.517,1187.077,1616.946,6517.582,-1559.833,261263,63129,4622.476,1411,28998.88,2230.332,-31.44074,5630.694,2448.202,2805.324,12943.54,-1207.196,51,103.521
623982,318885,8120.66,1796,52193.8,991.0411,-25.58259,2573.323,1595.351,1931.404,-164.5018,-861.5646,285816,108765,12714.87,3091,99107.13,1078.813,849.266,5329.16,2462.371,3320.366,-398.6026,-60.82097,62,104.07
1136115,255580,3353.385,1808,83768.91,5420.399,344.3951,10025.38,1751.067,1527.158,1618.564,5086.701,439832,86716,5117.579,3110,126222.1,8289.693,304.3493,16562.4,2130.277,607.7474,5003.784,8615.748,54,111.259
790874,227531,877.881,723,28417.06,5130.975,167.9252,9838.42,939.1673,657.5058,15903.28,55.44422,282986,68816,1253.718,1026,40766.18,8180.08,93.32871,15668.77,1843.197,453.2155,29569.26,1848.259,51,112.386
600186,161859,868.5515,217,11288.27,4456.456,109.9795,2992.342,785.0374,884.2794,2643.419,269.7256,209324,44240,1542.267,207,16480.51,6762.394,110.6944,6188.229,1174.759,908.8259,5600.667,-401.185,44,118.784
