FSC-H,SSC-H,GPR32 - AF488-H,FoxP3-PE-H,CD19 - PE-CF595-H,IgD - PerCP-Cy5.5-H,IFNg-PE-Cy7-H,FPRL1 - AF647-H,Zombie NIR-H,IL-17 - BV421-H,CD24 - BV605-H,CD27 - BV650-H,FSC-A,SSC-A,GPR32 - AF488-A,FoxP3-PE-A,CD19 - PE-CF595-A,IgD - PerCP-Cy5.5-A,IFNg-PE-Cy7-A,FPRL1 - AF647-A,Zombie NIR-A,IL-17 - BV421-A,CD24 - BV605-A,CD27 - BV650-A,Width,Time
934832,176562,976.1582,233,28518.84,5203.746,7.509515,11592.65,1683.402,1091.959,18848.36,2536.731,312507,55288,1797.32,470,39935.73,8119.579,588.0364,18298.7,2840.004,564.6508,31384.58,3064.042,56,15.466
920434,159469,829.681,1184,48582.22,3312.372,-205.0286,6749.817,1609.382,1328.722,7074.969,1199.704,322128,49964,1509.707,1991,66906.71,5906.866,-406.8204,11952.43,2525.958,4003.522,16529.47,-2108.506,60,17.745
496602,212069,175.7782,586,28094.46,478.3493,126.7333,2892.34,694.1082,1255.741,552.6346,506.4759,174197,65524,72.06599,1043,42758.4,939.2939,523.0931,5595.407,629.5906,698.7994,3378.096,470.972,51,33.02
479689,120780,343.9819,178,12359.44,870.5809,-40.85011,3310.878,431.7906,864.5875,4830.24,319.5769,157998,37277,616.7104,472,19803.31,1582.651,105.8376,6598.711,776.6838,2501.952,8191.337,940.7234,50,38.27
852959,131945,470.9641,257,23306.13,4374.27,-416.729,5220.738,1590.64,1047.511,7040.216,-677.1123,278833,37940,882.4613,549,36897.08,6330.624,-412.3324,8631.578,3394.324,253.494,11792.04,260.1145,48,53.922
894254,184857,8103.77,3035,94558.52,2081.771,358.9888,8333.245,2128.658,1351.293,8313.912,5571.05,320380,58389,12405.87,4817,142164.9,2486.738,330.9346,15157.8,4463.24,1925.517,15141.29,10728.62,58,55.513
932884,182082,722.8016,998,35052.32,3209.548,366.727,5814.312,1492.146,143.3949,7193.67,1477.263,332146,57632,1270.532,1595,49617.2,5874.114,606.9434,9644.372,2764.823,847.1342,13388.98,2747.952,63,75.663
977931,169785,214.8114,1108,34500.55,814.2311,-244.7468,3421.716,1033.621,495.1361,6528.073,1051.941,323799,53279,601.6923,1847,48630.64,1534.643,-272.6425,4414.501,1666.007,-185.688,11045.42,1781.192,58,76.645
504101,193595,643.196,206,14130.72,-380.2979,26.35443,474.2825,2538.361,2834.533,684.696,962.0902,164532,58599,931.8937,426,20783.42,-534.8796,-182.4803,305.8439,4299.551,3453.308,1962.068,1488.793,48,81.281
896271,153319,706.0244,1160,33391.17,2961.873,109.8276,6924.02,1467.047,-226.2428,9721.642,2470.967,307213,48088,1438.009,1549,47828.93,5435.717,409.3553,11374.88,2941.14,-1215.524,16743.66,3426.371,56,91.722
815822,160157,421.6534,599,16927.49,3598.6,-45.28645,3894.27,1318.11,301.858,9279.977,1554.278,281703,46797,828.9353,1029,24015.88,5899.264,-193.4544,6188.057,2190.276,32.93323,17121.98,2321.583,49,98.551
983871,182280,747.3191,945,29161.85,1109.379,99.30383,3171.323,1259.114,1608.255,15002.41,7688.142,369043,58176,1090.843,2025,41895.55,916.5102,689.5781,4572.111,3062.491,226.6532,29278.32,12923.95,62,117.034
807068,122590,535.3648,403,13619.33,99.06184,-64.41508,829.2288,641.3217,2050.296,7334.116,-194.5929,307149,37845,680.8657,544,18125.69,1010.594,-318.1488,1311.006,1627.05,5443.946,15316.85,-1699.582,54,143.83
941548,118727,689.2133,215,12869.11,1404.774,242.8456,2889.233,386.9948,1770.862,926.2757,269.6961,314425,33742,723.7947,723,17939.18,1281.131,704.0198,4317.836,230.036,1963.244,1566.043,3056.404,54,153.881
