FSC-H,SSC-H,GPR32 - AF488-H,FoxP3-PE-H,CD19 - PE-CF595-H,IgD - PerCP-Cy5.5-H,IFNg-PE-Cy7-H,FPRL1 - AF647-H,Zombie NIR-H,IL-17 - BV421-H,CD24 - BV605-H,CD27 - BV650-H,FSC-A,SSC-A,GPR32 - AF488-A,FoxP3-PE-A,CD19 - PE-CF595-A,IgD - PerCP-Cy5.5-A,IFNg-PE-Cy7-A,FPRL1 - AF647-A,Zombie NIR-A,IL-17 - BV421-A,CD24 - BV605-A,CD27 - BV650-A,Width,Time
819535,121768,2060.094,94,9326.879,-315.8337,76.93039,4301.521,641.9235,515.9387,28564.55,2219.812,271206,33897,3579.958,31,11289.97,86.5603,245.9743,6143.458,952.0032,-534.9399,49059.67,3153.317,50,15.933
644869,129162,1729.742,629,6496.833,424.9582,23.87856,3490.414,637.0613,1449.244,15953.06,2119.604,228565,39568,2484.819,1106,9623.623,791.7186,104.0745,5350.712,830.8121,1665.55,29608.87,4133.726,50,51.385
958345,128133,1356.816,444,5151.718,201.4843,66.09302,365.5634,515.7393,519.9647,8423.685,2062.567,324785,38257,1754.186,665,7306.138,703.4812,334.6339,17.03901,894.139,623.2059,14573.67,2601.065,59,62.831
392889,174069,2564.331,655,22559.54,4298.185,-79.3497,10071.98,679.8193,1941.52,11638.42,814.2169,142497,52284,4022.733,1280,32862.88,6660.146,360.6029,15966.15,1139.623,2462.787,21476.98,1854.441,50,66.819
953594,159844,1198.646,455,19578.53,-430.0421,50.81792,5952.261,851.013,511.4132,34753.22,3378.276,313015,48281,2455.314,505,24196.5,388.1137,-41.54812,8363.949,1467.066,143.5247,58384.63,5637.929,59,83.211
1073931,195741,7176.128,1001,16358.47,-628.2278,136.7324,6264.896,465.7646,1273.658,28695.28,2889.764,399674,58192,9517.967,1858,21874.02,69.70194,651.6244,10390.28,677.0795,1058.617,49996.61,3473.677,57,83.395
1052576,171284,1796.935,659,20872.52,370.6128,245.0904,5509.22,846.7008,2736.025,25081.34,1761.841,359985,49591,3012.054,839,28856.66,-107.767,1011.544,8687.684,1014.235,3429.197,42072.34,3520.406,55,153.605
749531,135561,4419.843,827,17889.52,639.4879,-2.970765,4520.324,527.5852,824.1288,36503.05,701.0554,268377,39643,5387.591,1009,25689.65,912.3805,683.0107,8495.743,234.9641,-1128.984,62742.67,2071.392,59,217.968
607421,225972,673.2069,873,20936.02,115.943,63.70837,4135.095,1239.592,1902.748,26475.46,2766.533,220055,67204,601.0685,1756,30949.61,-726.7838,917.3937,6052.139,2324.729,-594.3259,44267.31,7060.189,55,303.951
608597,183804,1071.211,619,16698.5,436.1926,90.21033,6147.449,230.1363,815.4621,63972.2,4090.255,239571,54472,1703.84,1049,23107.25,1615.845,230.4079,10724.54,536.7706,631.8109,110494.7,3109.336,53,304.083
518674,220769,1134.299,535,8506.582,-826.1365,-51.62996,438.5441,780.0108,752.9379,647.013,5292.362,226924,74553,2221.421,1540,14463.23,-1479.621,22.91824,11.07892,1165.64,595.2346,441.8821,10862.62,65,331.963
584932,177685,823.4935,589,18728.26,641.1354,123.1464,3637.302,694.1442,278.753,2320.782,2336.381,212755,54750,1218.9,1145,28259.78,2255.999,130.8624,6409.481,475.6241,1192.089,4103.215,3474.303,57,335.647
1027143,150228,2102.385,243,3869.94,181.9806,31.86789,1916.306,516.2993,216.9082,12387.78,1404.476,351284,42786,3002.06,398,6032.364,334.391,118.9266,3746.125,775.5596,-793.8642,19886.5,2580.518,58,352.435
625518,167395,1003.902,185,7163.992,-184.0819,14.73079,3193.44,489.6972,606.7687,28856.9,1485.172,240567,53846,1172.827,577,11381.08,205.1521,-31.17397,4522.529,656.7593,-118.6992,51643.35,4814.116,59,354.342
619032,103711,5936.439,642,13661.21,19.86143,263.5861,7178.909,1330.642,556.3768,8855.025,2638.05,218045,30191,8930.561,1077,19466.62,470.1941,605.0879,10426.82,1045.175,2456.346,15264.11,3094.304,56,364.969
819706,117320,272.9829,312,13626.23,-797.5329,-51.0111,699.3306,505.1694,815.3998,3392.175,2441.302,270679,32916,407.4564,539,18944.2,-534.4355,-121.1293,710.5389,1143.706,2775.564,7712.539,3913.951,53,369.365
692812,175912,570.8732,511,26166.55,8119.963,249.4438,8522.487,531.3704,843.7485,10534.44,335.7705,241013,53088,1027.537,829,38579.48,10799.33,455.2756,16447.68,981.4932,-181.4855,15676.02,3689.366,57,442.299
489391,139417,1607.292,445,18020.41,3363.176,235.1366,6042,18.47505,-423.0191,9764.202,1675.302,175096,40157,2675.436,1160,26233.47,6013.119,285.4841,9460.083,-259.3489,-112.8018,19365.89,1541.981,52,448.102
805119,145047,7226.497,893,7172.86,1358.417,-308.4041,4908.126,123.0252,1201.739,17671.26,742.5869,268847,42403,10000.01,1458,10636.18,2086.877,-337.3453,7946.684,-566.827,1569.678,28387.22,1179.716,58,473.13
443248,211812,766.5001,660,23519.99,-233.3715,122.9909,1369.467,750.1191,502.6424,3629.162,2819.917,172834,66969,1436.741,1599,35298.09,-30.50528,697.8275,2131.605,1645.031,146.1746,7875.371,4471.728,59,478.663
848353,98172,440.6512,478,6828.582,449.3695,154.2516,1400.911,598.3923,-38.99974,2490.679,1414.448,285577,28648,886.9291,875,9131.496,493.3862,678.3892,2512.607,1093.504,677.585,4577.403,2519.426,54,479.287
1030795,205603,1105.851,582,10739.79,-57.60939,-8.888613,3570.468,554.9911,1117.256,32792.68,3811.664,370300,61169,2285.973,1367,14399.79,200.5124,286.4011,5328.375,875.3837,1952.839,57108.2,5670.592,60,487.541
772515,114384,909.2958,332,7902.136,431.8879,61.52515,2059.835,364.0687,-10.43387,8550.503,212.4764,259105,32747,1727.916,696,11872.29,561.3632,585.8828,2913.337,887.8805,531.2104,15143.82,-369.2038,51,492.827
926567,88412,678.0755,339,12122.72,70.42965,126.9545,1857.448,469.8885,591.0192,7784.562,1178.044,300078,24719,1084.645,728,16431.37,293.0525,248.5285,3034.872,1010.001,-208.744,13937.03,1335.508,53,534.506
812537,101877,2166.689,192,10439.5,-254.0479,-312.4679,4654.927,609.9995,45.90253,26579.7,1682.825,269141,28936,3086.911,239,13965.13,27.26443,-654.3287,7742.19,1054.034,-535.8569,40992.91,2080.913,55,559.484
805944,152658,2734.765,511,10916.59,1459.349,-370.4337,5542.195,495.456,1604.844,36616.75,612.3625,270791,44015,3913.024,887,14409.5,1417.545,-277.9822,8327.924,613.1816,898.7819,58241.27,2322.637,53,616.233
906678,189803,5585.386,893,13216.37,1366.632,-149.3724,5125.306,1331.606,1908.515,45959.19,593.0624,338420,61696,6893.774,1399,18178.04,2577.519,-157.4337,8711.79,2535.333,3209.037,76547.54,3882.622,60,632.125
697093,89920,1839.993,308,3002.612,541.0768,86.42772,5160.103,75.08211,719.4745,21989.02,1391.657,224175,25409,3281.857,621,3293.042,1403.473,240.5634,7353.336,664.0684,1855.531,38492.72,1096.234,56,710.904
501965,213246,814.4033,342,11725.88,1349.119,7.462138,3070.24,636.7551,303.8917,22065.69,-671.2398,193015,67099,1304.811,901,17988.69,1908.928,285.5519,5311.075,361.3927,-1082.594,39876.13,-1016.998,57,759.017
900724,112583,1095.889,167,8335.473,-32.89337,169.4534,2144.799,473.7923,371.7417,5656.423,1172.328,304413,33049,1330.281,211,11427.93,177.7559,54.39687,3365.326,1911.881,887.7692,8899.185,2377.368,57,764.098
733023,150950,5306.914,887,9329.122,777.2257,252.1634,5437.938,349.0615,1640.381,34567.46,-222.9739,261504,46235,7974.554,1225,13795.77,506.0014,354.6613,9860.525,256.4925,2689.156,62504.73,-861.8087,53,765.431
