FSC-H,SSC-H,GPR32 - AF488-H,FoxP3-PE-H,CD19 - PE-CF595-H,IgD - PerCP-Cy5.5-H,IFNg-PE-Cy7-H,FPRL1 - AF647-H,Zombie NIR-H,IL-17 - BV421-H,CD24 - BV605-H,CD27 - BV650-H,FSC-A,SSC-A,GPR32 - AF488-A,FoxP3-PE-A,CD19 - PE-CF595-A,IgD - PerCP-Cy5.5-A,IFNg-PE-Cy7-A,FPRL1 - AF647-A,Zombie NIR-A,IL-17 - BV421-A,CD24 - BV605-A,CD27 - BV650-A,Width,Time
223557,81947,1324.5,248,16017.58,2047.586,288.0682,1277.956,366.0191,797.6589,2802.837,-731.5422,144129,37516,3225.103,771,35204.06,6562.61,891.4917,1013.91,50.64674,2223.686,2012.141,-5571.8,83,31558.793
301795,139238,1958.325,1061,33527.63,2962.156,130.0506,720.4674,1358.994,1372.869,12757.32,1060.81,167654,57762,4619.64,2107,63383.91,7523.417,420.5258,1574.281,3068.891,3177.628,31755.97,283.9764,75,31595.258
212621,57095,4969.293,629,9440.813,3135.435,200.4825,439.0643,179.8199,1316.852,1643.45,-2833.991,135171,26010,11161.95,1561,18747.85,6605.434,1325.624,-1169.29,-1069.323,3495.54,2997.176,-7278.094,81,31601.637
159472,277406,5891.452,2924,5020.731,631.8801,-322.3953,568.0902,2956.629,53570.65,6571.788,-91.05057,103448,151395,15325.19,7660,11060.25,1298.891,-399.7239,-248.6493,7036.178,132121.9,14436.61,1131.706,72,33038.27
263430,79149,719.1483,522,9324.817,2269.854,-124.0618,753.1655,1012.906,251.3477,2950.229,1545.731,127744,24631,1339.856,987,20782.55,5052.337,-107.2938,3703.681,1370.156,1406.933,6364.718,2602.899,58,33077.359
449211,143184,3318.029,971,25994.52,3499.01,28.73659,502.1317,646.5462,1192.173,972.1861,43.21783,220009,53275,6852.334,2487,45756.09,6745.776,-134.8828,2039.752,1008.566,2459.799,3553.825,607.3641,68,33125.457
435786,109132,1637.901,1163,41499.24,3263.854,311.6175,312.5922,410.0782,2110.202,1911.459,-482.1957,220609,42007,3017.241,1871,71629.16,7458.862,1426.959,449.2279,606.5508,6646.844,6928.681,-3365.931,70,33134.586
245219,172676,373.1566,350,13870.93,576.4848,-110.0792,-799.1096,1243.714,1581.231,-663.3004,12619.66,119868,75907,1100.467,627,25102.86,713.8284,499.0183,-1860.871,2428.924,1697.319,-3849.236,28439.07,71,33164.57
343226,157346,1411.602,854,28278.68,2351.559,-120.7005,-235.7225,1956.191,527.9578,17146.97,597.5925,178172,57579,3013.901,2217,55977.86,3401.092,583.8798,-215.9556,2912.715,-1032.533,39527.5,3275.845,69,33502.688
439692,118921,556.7289,552,20377.15,917.1403,156.9458,182.7176,855.4354,1549.858,1367.949,-132.4574,221453,44146,1150.227,1119,36996.1,1588.785,235.8612,686.1599,2804.613,3133.314,2209.161,1069.101,71,33527.375
360033,0,712.6243,244,12203.74,1260.26,164.3295,757.3927,519.1026,897.8781,3310.528,-65.4723,134377,-40,681.3029,-36,11353.12,492.0971,148.4097,160.1207,506.0515,-204.7188,-222.5751,499.9567,38,33536.887
526853,0,579.826,498,17449.11,179.5209,822.5906,720.3202,305.7612,56442.04,50116.09,-2307.301,228588,-52,80.16576,525,12090.57,44.02301,781.5394,153.5232,711.3266,27705.34,24963.35,-322.9723,50,33538.035
442391,0,1081.964,381,22567.48,1988.287,24.97532,386.7403,657.7931,776.8771,7611.72,-456.1245,179224,-48,657.2215,659,17946.25,2253.021,86.58131,-553.2826,388.5591,313.0688,1793.323,-812.0295,46,33538.246
577390,0,956.8223,457,17130.31,2462.604,-163.8016,-242.4127,502.1262,741.8023,1582.241,1225.269,284257,-64,893.5801,297,15463.64,850.523,73.7676,53.86993,-91.83749,426.9527,2210.451,1394.434,62,33538.352
231228,38835,271.9544,306,14548.38,1677.507,121.1078,829.8156,1187.449,546.9863,-432.9538,-588.6425,135802,22387,927.7619,640,35560.55,3690.548,219.9225,115.9744,1473.828,1526.399,-5386.859,-422.5432,83,34775.266
532771,126943,3246.202,1052,24049.86,5903.106,22.81153,233.4898,1218.222,1601.69,5992.502,-389.1103,267662,51869,5049.11,2343,41963,10874.4,1105.35,799.5447,1727.037,1876.735,13914.47,1347.7,71,36652.129
