FSC-H,SSC-H,GPR32 - AF488-H,FoxP3-PE-H,CD19 - PE-CF595-H,IgD - PerCP-Cy5.5-H,IFNg-PE-Cy7-H,FPRL1 - AF647-H,Zombie NIR-H,IL-17 - BV421-H,CD24 - BV605-H,CD27 - BV650-H,FSC-A,SSC-A,GPR32 - AF488-A,FoxP3-PE-A,CD19 - PE-CF595-A,IgD - PerCP-Cy5.5-A,IFNg-PE-Cy7-A,FPRL1 - AF647-A,Zombie NIR-A,IL-17 - BV421-A,CD24 - BV605-A,CD27 - BV650-A,Width,Time
474144,109151,7935.713,984,19429.49,422.7157,57.5464,279.9154,559.8641,1438.737,2685.322,1435.934,170803,34550,11147.38,1622,30430.97,1127.7,-81.6336,1165.175,1507.303,1778.683,5968.914,1553.571,45,4.684
1022111,168801,4972.883,757,11893.11,1761.833,238.4734,1177.777,1176.94,2525.206,15014.29,-1457.946,408602,60467,8880.539,1671,18672.38,3093.097,1092.86,2433.102,2350.351,1595.06,25440.89,-8.800282,63,10.238
485717,149336,4345.979,1030,22244.74,33.30166,496.7478,349.3118,50.80352,349.7358,7365.141,1907.098,212906,51734,7576.16,1834,40420.44,1071.603,1195.13,581.8212,14.42882,1265.302,16227.17,3279.651,61,12.83
690482,214050,3773.705,778,28149.55,-371.3801,346.015,655.6467,783.0279,-452.7289,11576.2,1390.434,313660,77773,5982.048,1401,50967.5,1122.644,303.5504,474.0012,1537.1,-871.8997,27565.79,2419.107,60,23.325
765304,189791,45325.18,4290,28390.98,522.6483,161.4996,179.0797,440.8912,2035.564,1318.196,616.0805,350513,65929,75753.01,8362,53724.86,1396.223,883.1975,-737.1171,540.8223,1149.774,5004.875,1006.631,61,31.095
1065256,134182,1004.074,677,15877.08,-609.3195,184.7199,793.3856,404.2795,2088.047,25632.25,677.4644,429501,41507,1623.122,1697,29463.05,-648.5357,448.5737,2267.719,842.0519,2170.297,52485.61,-1374.986,55,34.454
635318,263957,21124.61,2082,12885.09,1168.976,-148.0541,589.226,1282.324,2187.121,16346.11,-1425.464,238853,103345,42450.2,4499,22911.88,324.8792,88.8409,-88.12691,3361.508,-987.3093,36440.34,-602.5511,52,39.923
648336,114536,21994.29,2538,21458.03,-61.33712,-14.73911,599.5989,860.7684,1694.909,21497.87,-490.7152,296448,39787,34688.41,4133,34295.27,284.8538,-104.4481,1408.659,1395.024,831.5348,42736.61,-916.2156,64,65.451
636627,171184,50666.23,4737,28148.88,6416.268,-175.7914,-159.7084,1224.008,2586.891,3189.014,-2164.244,315419,64038,86731.22,7824,49023.33,12687.37,293.9227,-475.5695,1526.66,6363.043,8034.732,-3881.183,69,75.727
422921,144267,1525.23,98,9839.417,-215.6789,-11.78081,263.7748,404.9942,1133.128,2264.446,-214.2927,165172,46936,2966.908,211,18630.49,-688.8622,317.9554,-646.3945,290.6056,741.2632,5935.301,-1116.786,50,97.949
581968,143436,1725.75,581,24785.81,2283.628,191.231,197.1197,712.8499,1634.578,666.1764,606.2156,230315,47660,2943.592,1240,43301,2297.759,672.9715,-193.7169,1831.322,484.2541,-604.9427,4787.624,53,120.603
