FSC-H,SSC-H,GPR32 - AF488-H,FoxP3-PE-H,CD19 - PE-CF595-H,IgD - PerCP-Cy5.5-H,IFNg-PE-Cy7-H,FPRL1 - AF647-H,Zombie NIR-H,IL-17 - BV421-H,CD24 - BV605-H,CD27 - BV650-H,FSC-A,SSC-A,GPR32 - AF488-A,FoxP3-PE-A,CD19 - PE-CF595-A,IgD - PerCP-Cy5.5-A,IFNg-PE-Cy7-A,FPRL1 - AF647-A,Zombie NIR-A,IL-17 - BV421-A,CD24 - BV605-A,CD27 - BV650-A,Width,Time
794320,182270,1317.295,1122,39170.59,1340.461,27.32889,-383.4503,862.2065,2607.034,25498.84,3394.173,357925,71499,2309.385,2744,81264.77,1061.87,975.0131,682.712,1430.772,3782.811,53040.53,10311.41,64,2.694
1144840,217299,1938.888,321,23417.35,5081.556,-525.6805,-761.6856,1744.697,3192.025,2342.315,-1344,471520,86768,3484.735,786,42853.62,8269.987,-428.2728,904.2081,2804.703,5486.826,3701.193,-833.5641,69,22.462
426540,112951,10518.08,1204,10403.83,18.95687,99.17365,658.166,1562.416,910.1088,5710.118,-29.92847,163653,36419,16037.71,1874,16904.9,-115.6158,786.6373,800.8658,2407.43,177.4455,13822.49,2553.496,55,35.489
815112,138738,1132.029,470,14477.82,-811.6397,352.2838,833.3799,329.045,2897.79,2385.692,1784.78,362606,53385,1918.19,1081,23795.53,-1068.593,750.9365,2894.693,437.839,5499.825,7705.338,3359.872,71,92.14
484485,152668,2909.304,441,8919.696,-348.2092,151.6504,144.9548,564.8411,18546.07,310.8257,1127.364,201740,56323,5403.532,1029,16688.67,-1099.851,173.5417,-889.5262,987.403,34234.05,2032.49,2625.351,67,119.285
1105856,160508,5458.131,691,21209.18,-254.8277,70.64634,-166.007,789.6882,2004.276,12764.59,4464.867,455323,57398,8770.234,916,38504.02,-1252.013,576.659,-329.0648,1105.261,2935.951,27613.4,7161.399,68,123.709
1210287,287902,1065.081,1227,42324.86,413.4106,-112.5601,-82.93441,1970.687,2881.429,13812.45,5656.747,508517,118490,2860.55,2417,76036.29,17.141,-106.3085,521.7825,4558.862,2269.701,31712.11,13452.77,70,124.81
1141697,238770,1087.536,605,36057.05,-830.8181,-109.1268,-382.5667,1558.462,1542.861,9383.442,9535.509,486697,94455,1950.5,1119,58199.59,-1319.768,260.8659,-1800.342,2860.322,1681.849,29539.08,16588.74,71,140.044
631293,181203,10572.12,1415,8247.783,483.5521,247.155,368.6805,781.595,3605.783,7338.768,-242.6197,238494,63758,18128.24,2047,14987.42,306.4981,1575.125,-1347.337,435.966,5771.891,13597.22,1416.62,61,153.009
1016928,119592,165.9306,732,24494.79,6828.705,-128.0412,-62.12277,719.1033,2249.238,4566.189,-1325.526,411284,48609,13.90316,2065,45256.66,13972.77,47.07935,-747.3677,1301.362,7931.073,11343.14,-745.4366,70,164.041
923390,161678,1959.365,895,32724.58,3822.517,395.6549,281.0498,990.7388,3814.355,-263.9654,-593.7408,414374,63400,3120.415,1730,56592.92,8392.955,550.8549,826.3624,1723.447,7602.328,1365.006,-2796.584,73,167.316
1055996,176509,1541.907,582,24948.92,1684.302,-8.389555,-166.4075,1599.818,922.7397,3955.359,141.6891,426776,66084,3748.619,1314,40080.5,2692.891,888.2034,-101.6116,1935.313,23.44116,13666.65,-1484.129,68,181.887
795027,146062,210.1709,715,23685.07,990.0667,233.2597,858.2018,528.6704,836.0821,2449.929,-513.06,335832,54111,161.8088,1330,38903.74,2412.86,706.0601,3489.876,-272.2466,1418.874,6060.882,-428.6949,70,189.719
972228,237104,724.1038,831,33789.57,-75.3872,-103.1684,798.0606,880.8733,1536.145,3041.505,3780.63,455524,95141,2463.035,2176,61022.8,240.7551,-109.6554,2837.789,1298.497,5297.404,7332.373,8280.267,72,202.609
479292,175325,3414.342,552,15760.86,442.6978,-210.5301,461.26,1546.124,1006.055,18794.24,-67.75307,203296,72268,5797.214,1497,30431.41,-329.7676,42.59007,1201.202,2685.83,-92.41055,42996.95,-69.82799,61,235.311
640429,142736,5903.115,991,47111.49,1818.188,274.3801,1041.981,1093.148,455.6087,2181.891,3029.633,280445,53104,12179.11,2491,84195.13,5167.682,890.6075,352.8274,1529.5,3947.014,11061.85,4940.171,70,251.377
857648,157722,1205.659,535,28177.89,3655.831,356.1104,616.0533,541.0723,996.7576,2344.321,1205.327,373492,58671,3259.487,881,47313.05,6755.76,1013.925,3738.493,781.9854,-740.1387,11826.58,1210.006,68,259.455
957321,181210,886.8698,695,28719.76,2061.147,269.9565,121.799,841.821,1587.181,811.0393,941.1442,401347,66652,1400.011,877,48506.45,2529.71,1036.049,-431.8771,1700.864,3605.731,3597.842,2156.141,67,259.823
1032430,226684,646.119,503,30241.65,3449.604,-10.97977,-282.9185,1093.667,2338.98,20568.04,1053.835,425013,89437,903.0788,871,51300.51,5832.54,409.5422,636.0051,1151.082,1290.694,45416.32,3376.228,67,266.735
567295,127605,1404.422,305,9720.063,3109.399,595.3185,-21.12753,1557.428,2006.912,1387.105,-567.3847,226298,45911,2709.53,556,15230.04,4352.409,1466.558,426.965,3780.249,3165.045,3391.343,1144.063,63,308.611
748935,118568,3890.771,454,14171.77,2003.093,423.1418,154.8736,574.9233,1001.421,3637.043,-897.9721,331657,42675,7046.121,679,23315.51,4486.168,1111.25,2161.647,1340.856,-664.5466,9777.078,-2016.611,69,333.298
