FSC-H,SSC-H,GPR32 - AF488-H,FoxP3-PE-H,CD19 - PE-CF595-H,IgD - PerCP-Cy5.5-H,IFNg-PE-Cy7-H,FPRL1 - AF647-H,Zombie NIR-H,IL-17 - BV421-H,CD24 - BV605-H,CD27 - BV650-H,FSC-A,SSC-A,GPR32 - AF488-A,FoxP3-PE-A,CD19 - PE-CF595-A,IgD - PerCP-Cy5.5-A,IFNg-PE-Cy7-A,FPRL1 - AF647-A,Zombie NIR-A,IL-17 - BV421-A,CD24 - BV605-A,CD27 - BV650-A,Width,Time
326415,76928,16081.8,2022,15972.42,938.8632,144.9867,113.5663,248.0665,861.6638,785.0496,-1143.179,145648,14092,32644.38,4064,31226.95,680.3381,92.14108,339.9868,659.8203,1178.367,558.5033,-1142.154,75,25893.008
268171,274419,2308.558,811,27295.05,1359.073,-151.0985,5939.016,494.9159,704.3712,18984.6,3145.008,107125,94986,3989.171,1659,51147.67,3694.589,-818.8361,10737.56,1190.457,-1383.761,40227.03,6722.196,53,26189.73
469370,0,351.0736,275,2694.884,-370.5973,514.8575,387.073,235.5742,492.2517,1901.635,-194.5105,180279,-50,882.1351,408,6606.355,-985.7514,219.7057,-411.7232,240.4431,156.8112,-15862.68,4792.017,48,33995.176
550775,80514,4439.684,438,9982.142,156.2361,-28.69619,2471.125,1020.777,404.1534,4009.855,-91.36473,184526,28029,9433.292,1020,16350.76,-167.5203,565.7987,4985.408,1070.498,1499.22,9487.979,-432.092,57,36270.98
336233,203069,11336.36,982,6555.066,500.0252,128.5874,4172.191,2484.724,-112.9725,6036.476,395.7832,135218,74400,19436.52,1971,11219.19,1417.873,615.6998,7820.688,3910.035,-108.6993,12603.69,550.554,61,36892.391
273740,245193,9230.325,1129,10641.59,899.1517,-174.365,2956.844,902.405,902.5526,18103.36,2783.389,121427,88685,18417.45,2166,17979.36,1286.421,-223.9856,4860.249,2343.048,2782.185,36642.76,4664.915,60,37018.422
776808,205098,1824.01,759,23414.58,763.9753,460.3586,2073.796,2894.79,1144.677,6617.343,857.5048,293282,72038,2332.697,1621,35298.55,1535.704,702.8854,3067.218,4013.843,2535.449,12762.74,1414.945,63,37055.805
494862,524919,10473.95,3684,5515.007,1172.99,236.3415,79.94288,1108.72,84190.6,16410.73,-1950.23,176560,95988,15632.83,6488,7907.838,1870.125,499.9616,-75.83759,1926.749,133260.3,25017.48,-2253.41,72,38008.059
276490,72767,164.1316,227,6863.12,85.92141,-146.3156,238.7453,480.9062,573.7355,-169.8817,-148.1592,119382,26725,449.5928,622,12147.72,276.021,89.6957,-846.8429,-764.9537,63.23275,-33.14513,-324.8083,65,38804.941
377672,157747,6384.373,866,16877.03,1979.337,-125.0061,3220.212,788.6089,962.4276,8628.379,-300.4425,143687,49503,8559.147,1290,26095.81,2340.023,384.1606,5586.707,1083.132,572.4325,14028.87,113.1862,57,38996.926
300860,31735,119.1752,10,6762.06,1957.695,-415.1184,-222.4248,331.3515,269.6226,3397.048,-24.98402,130823,15438,-126.5151,3,11598.88,3182.685,-495.7208,-275.0422,-495.5051,1647.921,1857.395,123.1186,65,39994.789
675515,110681,797.2726,589,14574.01,779.9529,41.51192,1823.734,409.6046,971.3702,1748.07,-167.2481,235782,34466,883.5856,873,19782.53,2635.159,-67.62445,2698.664,1366.377,2129.325,5824.443,-2222.626,59,40210.652
278742,11980,3844.268,397,5217.228,748.7114,-92.00185,769.6462,146.5907,290.1701,6508.301,7.106316,134666,-1983,6935.089,920,10308.8,1701.587,68.4231,-6341.098,-1858.26,60.61881,12440.17,-88.43639,71,41664.891
599056,129762,778.3743,433,17226.09,1464.382,-299.2095,2432.876,528.6703,1209.547,355.4783,227.0716,234636,42146,1261.619,980,25545.57,2239.538,-506.2143,4549.561,1184.632,1295.422,2703.097,-65.69456,62,41683.754
912375,162791,2745.861,635,26952.24,1360.669,-213.3997,905.4811,219.9515,1932.107,1360.784,1074.69,333446,51225,3942.667,1076,41428,1537.506,-49.29563,1321.502,308.5666,2569.043,3453.811,3091.083,62,41755.438
371759,0,1444.897,439,9793.084,351.4956,160.0229,240.198,326.1359,-230.7045,16814.78,269.2426,158751,-64,3468.15,186,10060.78,2090.275,-35.22741,-2055.846,-751.4247,-2288.79,33311.55,-1790.821,62,45045.508
275136,256698,633.3318,344,19533.55,311.9524,-100.4718,1199.565,918.9604,435.7713,7511.809,2883.355,119987,88751,837.8231,906,33182.51,-557.5702,191.5655,1696.281,2179.68,490.2862,12623.37,8252.507,58,45261.879
331014,129169,665.5722,725,8787.984,708.1812,-215.7783,737.5222,750.0881,957.3304,2178.935,603.2851,117241,42638,992.9028,1256,13517.6,1346.642,-111.8324,511.0319,1069.329,1597.843,4152.843,971.0829,53,45292.305
835026,121755,560.9432,268,10356.48,1377.194,-158.0219,3685.921,452.4846,753.6219,3455.65,682.0012,291027,35966,1747.543,640,13647.89,2545.113,-203.5519,5601.166,786.782,2730.008,7201.279,1513.192,58,45370.586
1117921,217920,19837.14,4491,100826.2,3747.144,172.6239,4527.294,1099.007,1760.174,2231.7,10394.01,418993,74739,29657.31,6676,156276.5,5189.029,14.41546,9067.673,2148.185,1950.534,4198.901,18335.32,62,45374.375
346824,113172,7640.244,1270,23255.57,1591.724,-337.9737,371.0725,305.2108,1268.475,1811.782,-2361.557,121308,35229,11993.85,2369,35002.36,1615.935,-391.4801,746.3217,396.6176,652.0093,1830.373,-1450.173,54,47898.305
371636,11400,510.9686,1959,29334.88,4313.912,1046.767,4274.607,14357.27,2614.397,12339.42,-987.7885,141543,-4453,155.0332,161,4654.37,246.2037,417.106,-18.68763,363.8474,437.8136,2077.521,348.3864,62,47924.273
395638,149146,16269.08,2664,69441.16,3647.521,-21.22161,4435.637,1825.712,1690.735,-874.7816,-1870.893,188058,47530,27467.03,5217,118337.9,6522.904,340.4117,9291.238,2823.872,2668.034,-1583.528,-3064.775,61,49499.109
385206,207933,3137.724,699,12155.49,43.6309,504.9434,3687.905,-637.1996,559.2097,33205.79,4924.348,124238,63087,4707.625,1371,16917.82,-562.304,897.237,8720.521,-3255.776,-1361.656,66188.13,8099.532,44,49661.07
663915,164982,379.6041,638,37989.27,4229.368,22.52333,1773.973,837.4824,1294.725,6263.258,-973.047,258002,50042,775.5059,727,58048.61,7134.104,1100.192,3854.715,332.6128,1372.494,12227.73,-1430.198,60,49666.203
545665,133400,3166.497,711,26399.56,-443.8406,53.84359,4128.737,567.0723,617.2578,15396.24,1740.638,230419,40974,4310.407,1131,42810.87,-5.220731,278.0286,7257.835,152.5762,-800.5081,31885.23,1199.65,59,49666.391
880392,79757,2224.864,181,5372.648,76.33237,-38.38382,1250.913,664.522,406.1527,3331.369,828.9297,285032,23375,3160.573,378,6717.692,706.9846,3.377078,2410.945,1279.456,1267.766,5813.839,788.0357,57,49682.961
315442,219110,431.3177,377,17210.41,3492.927,0.03113304,2396.126,492.6982,442.3283,3036.497,-618.0663,122722,70099,735.3079,613,25529.95,5113.851,392.4597,4976.071,739.8471,1130.548,5549.67,-707.327,56,49730.668
438282,198106,993.1295,386,5946.113,4157.822,-81.10405,5389.589,850.1453,434.2487,8319.671,-664.6718,200117,63597,1327.323,615,11322.74,8284.517,-217.3327,8807.854,1378.524,-16.36138,13609.88,-995.5482,62,49768.746
487934,134346,931.6622,450,17822.12,254.9181,-236.9365,1593.44,2201.25,656.2565,-115.1135,972.8637,173116,42597,936.0034,1100,26433.42,601.6713,64.54597,2987.806,3322.204,1443.806,-481.5805,1962.625,57,49770.43
422134,125285,1203.68,207,14396.46,92.60711,-134.8549,2006.012,548.7672,633.8599,13989.2,2593.58,142513,36433,1816.629,209,19863.72,-456.4884,-284.4813,3350.887,1297.538,220.4007,24688.81,6013.454,50,49772.543
487301,109233,1458.703,331,10225.46,1130.296,-252.7073,2724.449,492.5262,567.1299,3184.117,-672.9586,209891,38702,2273.404,428,18649.37,1373.576,-138.764,4214.345,841.1607,600.7548,6031.309,-76.16106,70,53643.457
513509,151606,4167.69,1036,37742.58,-207.2255,300.6063,8427.96,1505.18,-1935.225,39030.8,3430.682,209742,51046,6213.571,1647,59372.09,-314.7018,198.6776,15169.08,3175.779,-1659.417,71310.62,6103.099,55,53733.258
347863,266243,753.7531,-28,5657.477,-405.1139,278.6594,1875.282,316.4164,1271.142,17372.51,3822.937,140793,81962,1048.207,-134,8659.493,-161.4275,643.2026,3712.303,166.5235,1580.478,29790.45,6129.786,57,53750.773
528292,156169,489.5573,315,12453.3,-713.717,179.3354,1615.3,974.621,-46.83906,1061.649,1124.945,183981,48137,939.2528,361,18342.84,-498.882,250.7857,2687.977,1377.507,-316.9499,3320.512,958.1167,57,53806.09
683652,163057,1547.797,798,28784.6,3130.266,-166.4393,8057.113,1269.712,272.5009,5597.054,1584.636,262108,52977,2593.332,1722,42067.97,6798.553,-42.11622,14640.76,2361.838,49.23269,12059.43,976.0278,62,53833.848
643730,135791,125.9974,244,12491.13,3108.115,368.9751,4914.96,2315.356,992.6223,6132.257,-471.8217,210688,41281,25.03518,727,18991.66,4633.514,1141.492,8175.639,3569.01,321.9201,8578.994,960.4218,54,53833.988
837734,209232,490.5367,228,15907.87,953.3736,-13.43457,2289.685,698.3512,1764.306,18159.87,298.1544,317421,66855,677.2903,568,23994.14,1418.052,157.9327,3666.329,502.926,2387.512,33450.96,904.8343,62,53837.621
643177,129831,335.9301,631,30950.48,612.9213,399.3535,1882.936,966.0628,100.8145,-924.9312,1917.678,235465,39535,1077.533,850,44051.12,982.5266,732.2836,2531.643,1586.709,-80.19158,-537.345,2814.271,60,53851.594
229255,87597,1144.229,60,3099.569,1450.383,142.1783,493.6784,829.6111,995.9896,25508.15,472.4516,92212,27976,2299.232,240,5048.724,2780.305,247.783,533.9347,1092.331,1922.491,44278.66,1167.082,55,53859.25
382607,193221,1145.803,434,6863.624,508.7785,342.5775,1966.768,459.6186,880.8942,3093.571,3059.913,143964,59392,1732.742,656,10033.97,1194.925,655.442,3305.888,2009.08,1994.696,4411.771,6889.473,51,53860.398
