FSC-H,SSC-H,GPR32 - AF488-H,FoxP3-PE-H,CD19 - PE-CF595-H,IgD - PerCP-Cy5.5-H,IFNg-PE-Cy7-H,FPRL1 - AF647-H,Zombie NIR-H,IL-17 - BV421-H,CD24 - BV605-H,CD27 - BV650-H,FSC-A,SSC-A,GPR32 - AF488-A,FoxP3-PE-A,CD19 - PE-CF595-A,IgD - PerCP-Cy5.5-A,IFNg-PE-Cy7-A,FPRL1 - AF647-A,Zombie NIR-A,IL-17 - BV421-A,CD24 - BV605-A,CD27 - BV650-A,Width,Time
801494,93653,5603.858,1039,30203.96,-921.2146,-118.6477,1595.015,353.259,595.9421,8653.84,1200.248,332136,31089,10247.91,2376,55981.83,-180.4687,-774.9551,4915.467,410.6659,3342.082,21975.92,764.0112,60,14.075
917900,182475,6805.054,756,13302.77,366.9925,-204.6908,776.7556,362.9692,2744.459,29051.16,-623.6509,467034,69292,13941.03,1562,23037.64,507.0841,-759.5082,-741.2405,1250.357,5008.942,67406.53,-1080.926,74,32.48
532653,179827,2494.496,540,20087.59,799.0338,430.4713,589.9836,479.0383,2057.282,3943.701,300.1642,210225,62435,3747.792,1023,34562.8,817.8912,1051.845,62.67749,1046.506,4691.859,7608.685,1954.222,54,106.661
797460,112625,298.8607,453,13923.5,-15.29536,84.58602,612.9431,174.4178,1650.629,3833.736,1366.589,355767,38423,-352.2725,1566,24875.78,432.6689,478.8715,1124.505,191.4849,3634.434,4186.591,712.5081,61,128.277
761901,151113,9780.864,945,7224.571,435.0985,622.1949,692.0544,1759.711,2581.195,28839.63,1945.805,326944,55594,16883.47,1300,11430.81,2899.274,690.2309,131.6565,4043.39,1455.197,60977.46,3975.346,63,138.49
340716,67250,6154.972,666,13514.41,-217.1841,44.25155,207.6403,525.7179,28.62363,1555.15,1509.161,154729,24462,13540.96,2100,23517.09,889.0221,-83.4756,-1077.797,842.2947,1285.809,6073.083,-857.8044,59,156.045
781025,165270,2544.933,1092,20421.53,-837.7007,259.803,688.074,606.5707,2529.149,22086.91,3412.008,366890,61980,7317.442,3004,38599.04,-2045.267,1024.251,401.8992,1182.791,6097.225,45979.55,9688.16,67,193.249
791050,137471,2672.464,1026,25798.34,362.7261,569.0801,35.84829,1003.775,677.9866,7578.578,2065.429,333286,52275,5261.275,2617,49829.14,637.7276,1259.54,76.81528,3538.424,2950.833,13752.29,6044.565,65,200.958
849824,171873,6211.42,1253,17688.13,860.8441,428.4025,-27.03497,355.492,4076.762,102946.8,3371.762,372107,65761,11374.68,2922,32841.57,-636.3055,1034.986,1085.837,1743.496,7454.856,228193.2,10146.97,67,202.621
923947,168782,926.507,1338,44952.47,3307.281,30.57902,1131.129,977.6603,1728.896,2433.02,437.3046,412040,66024,1441.694,2605,81974.29,8044.794,214.211,2635.533,1554.69,9238.414,379.9381,-903.014,68,206.755
1070470,202970,2191.202,1074,42979.32,1214.074,-429.7489,-567.5067,934.993,3350.473,-307.344,3391.165,503106,82024,4218.762,2340,77818.53,1679.881,-441.0917,-629.5215,2789.066,6945.095,-1811.966,7897.565,68,220.591
1018421,284969,7928.431,1678,49176.95,1208.253,693.7179,-201.4484,2082.383,2887.853,27883.53,2356.519,491929,117702,12241.74,2806,91072.55,2551.224,1589.973,-197.2236,3782.88,1760.857,61504.41,3079.073,64,227.711
262127,30243,18403.65,1878,37577.9,1135.185,-39.66528,-84.04653,316.5114,1949.997,239.2393,-1262.59,142399,17153,28690.61,3687,61074.45,2065.142,613.6288,-81.58513,418.4461,6256.239,-4873.886,-2274.045,67,229.908
955556,157661,683.3746,640,26727.41,167.6496,274.3788,678.5317,719.9949,2252.445,13388.13,-803.2688,400480,54405,812.5584,789,43123.82,-682.4224,943.542,505.2933,1441.935,596.3823,25663.52,1500.186,64,247.835
986017,128367,9852.837,1044,7525.426,993.5083,74.43655,-423.3239,581.7181,959.6457,4769.922,795.1898,421801,48824,18734.38,1970,13301.85,2119.13,742.7241,-1942.174,1171.522,3214.91,9432.474,2162.767,64,267.228
470065,126947,5455.468,758,14133.37,550.6424,284.6006,787.6818,811.4515,418.9957,4338.118,367.5121,194777,47396,9763.582,1852,23408.72,2860.699,-240.0111,52.29105,2063.538,1226.286,10194.61,-540.3144,60,297.553
1035909,95638,3092.725,575,24761.8,1103.402,-65.59181,1249.367,572.5438,2277.89,26009.96,-3130.553,451977,33869,3403.03,1426,47188.83,3493.972,39.41422,429.6062,86.38856,5620.393,41654.8,-8893.401,60,302.271
384144,240742,3924.187,1260,22221.88,605.2678,264.9769,118.3687,579.3913,1826.708,38902.27,249.4621,193163,94365,6690.314,2543,46310.96,749.1832,569.2534,573.1725,1003.32,2231.586,84467.78,4282.838,66,327.884
627303,209933,3081.073,906,23445.28,3616.098,3678.674,-1043.751,5538.029,3071.976,6596.232,-963.1489,306846,84903,7877.843,2335,50564.25,3879.932,2016.255,-3661.323,6981.794,7920.303,5955.41,8450.112,60,359.64
647838,131515,7445.232,939,18254.63,-631.587,357.0699,738.4341,2886.638,-107.8753,23342.67,2188.917,293451,35386,13570.63,2308,36601.16,-1500.574,1579.095,855.3427,5334.914,-816.7944,16360.27,2897.391,48,362.173
438659,176278,38136.22,3833,18887.03,888.0052,428.6949,91.84792,1174.614,2730.99,-263.6187,722.732,204314,73581,77030.43,8296,45061.51,2071.333,874.0222,-1259.507,3456.203,6918.805,-4333.728,1251.286,59,378.531
859139,208865,3586.016,931,31929.63,-5.560912,132.2123,96.10963,528.0866,3000.715,15740.18,5790.213,412015,79652,6014.867,1916,61630.82,310.5528,791.9958,-192.9822,1405.383,5526.367,30971.5,15898.01,72,436.263
308655,143729,22635.04,2381,33933.87,-1728.771,385.6989,1049.196,797.655,-1035.437,3614.318,3695.464,110012,54902,40876.89,5071,67997.8,-3345.936,1007.146,2497.355,1382.197,-1982.497,-2591.31,4769.474,38,439.67
551656,128229,21771.63,2216,29590.04,1061.675,362.3351,433.0804,163.3848,2088.182,-536.8049,-1297.466,274421,33018,41958.75,4312,58521.06,-217.0474,943.78,1641.289,379.7675,1990.351,-5086.933,1967.41,60,441.243
428896,132256,308.9057,379,20145.94,-426.0751,593.2869,1214.106,803.1953,908.5039,870.0066,171.4148,208914,52514,126.123,870,41187.27,-886.3901,1421.685,1943.943,1391.539,549.9964,-798.8664,649.0696,65,451.084
565612,170502,4460.137,1119,17568.14,29.41765,-32.21238,669.6808,794.5721,3638.543,20165.39,-158.2484,230461,64805,8004.37,2861,37393.93,327.3645,-289.202,324.7796,2307.184,6747.474,41615.95,-771.845,56,456.57
444614,93697,3122.384,901,17895.54,-956.2032,756.6841,1025.263,549.7374,571.8032,3332.827,2225.683,182613,33961,6675.951,1769,31398.68,-1421.825,1811.851,2077.118,1159.19,651.3523,622.6685,5180.766,55,481.067
337029,144694,1756.407,581,22983.55,-247.9546,10.63827,535.023,381.0255,-609.4305,8193.625,1277.6,150215,56755,4096.776,1488,54713.87,-1473.3,691.8351,982.6613,26.36695,-3816.424,1800.047,4129.35,54,482.771
451899,174737,8955.587,1134,14234.13,929.7097,-24.61026,761.4078,2994.517,2865.799,7825.458,-133.94,210658,69473,17675.75,1484,24563.9,1627.83,1150.322,3460.732,5693.156,8299.08,9658.804,1930.549,86,495.271
891053,165954,4102.037,1177,42314.4,4136.128,708.7628,1082.408,1703.102,664.0994,1229.5,1462.554,376624,56257,6412.792,2185,75375.5,8941.208,1362.948,567.0269,3430.61,1510.934,3847.408,2165.865,53,496.669
842437,139541,34557.66,4309,55785.93,214.8118,212.6236,509.0607,957.4345,2562.576,59.62373,-5.139535,415025,57561,60877.42,8092,101706.4,2272.652,-117.2593,-2579.563,3043.819,7506.78,-2230.163,603.8071,67,509.915
819857,159465,7461.974,2373,54089.32,6343.51,1534.967,1290.663,953.2375,811.9664,-631.0949,-207.2386,410355,61289,13621.14,4274,105944.8,15366.07,2729.031,3814.733,-3104.662,7430.097,-7328.191,-12795.8,70,532.406
608383,260446,1985.268,1159,52242.8,-1158.309,521.1412,1194.759,646.8064,1554.216,1918.843,1803.696,312301,114648,3922.4,2677,116752.9,-2492.957,933.4186,3404.264,831.6193,9087.339,-1837.652,2964.582,70,557.994
534864,192975,649.7486,786,34853.32,4639.177,129.7103,31.78313,889.2742,1244.158,383.7238,-2630.129,297524,80564,1278.459,1734,76377,8129.254,1027.677,359.8231,98.09248,1555.181,-1543.461,-7725.59,70,564.956
896935,269209,4411.716,3213,129593.7,-1580.162,627.5538,664.153,1448.22,1098.049,-14563.61,3979.142,464188,114771,10341.93,8567,290525,-2209.314,1795.88,1712.792,2851.069,3760.945,-39156.46,4397.01,59,618.085
1036417,166095,1847.19,404,22768.18,241.727,-179.4023,688.5776,622.4237,1272.654,19844.98,2356.586,488398,76852,4832.626,1108,37841.5,1099.61,301.137,1232.158,-1318.077,2164.083,30836.56,3635.142,73,635.599
878147,158925,91740.65,9171,49100.14,2439.807,-38.29725,163.2464,1377.238,1406.052,-442.7771,-2881.962,447998,72819,179851.4,17783,111548.2,4130.792,94.04497,670.5795,2141.522,2131.656,-6879.326,-5122.64,69,641.279
774678,105415,4566.138,1026,22600.26,-440.4908,552.9669,1315.892,1215.377,121.2924,12377.84,-395.5023,373714,34988,8120.641,2418,45948.72,151.8941,1171.784,1875.128,1235.642,337.5076,4947.495,360.7104,68,646.495
893502,188668,16036.39,2665,50968.72,1306.86,114.8054,444.0345,891.7038,544.2648,4262.346,-1320.965,437994,79012,27425.2,5230,97358.15,2937.059,552.1079,-321.2953,1680.605,-294.6915,-4061.907,-2425.587,70,652.175
445209,152287,26781.36,3307,39849.62,4921.722,940.9689,612.6161,1087.234,1005.779,1156.161,1197.874,237293,68598,62967.13,7186,90854.05,11734.19,1839.745,3115.016,3798.337,4120.478,713.0319,-5477.452,66,652.398
567688,211605,1325.602,259,8500.119,-910.0767,317.885,695.8524,314.7424,1097.672,35.2157,2702.74,321817,86691,2256.357,519,16367.73,-2346.178,968.0602,1911.692,752.5741,2412.289,2192.756,6971.675,69,654.436
690515,160257,3009.04,963,33059.46,1665.495,243.7527,423.1165,440.8089,778.0379,5629.014,837.4161,382669,81809,7441.278,2982,57984.73,3099.582,1355.148,2343.205,1559.2,4332.728,13678.91,1618.407,82,654.452
938541,291502,35382.16,4044,60239.39,-170.0251,-312.703,510.4805,1493.466,3167.662,626.864,82.22085,473982,121618,66634.59,7901,120484.2,-1738.612,-1181.656,2245.783,3630.326,7583.754,4704.615,862.9061,69,661.352
491712,210465,4217,282,7696.384,-309.6075,214.0449,635.8951,1118.452,1847.112,164.5161,2972.404,243599,90729,10047.38,910,16706.59,-712.5693,618.9804,1678.891,3950.393,2075.746,-1116.545,4064.344,60,665.513
809092,122819,822.9654,404,25025.43,-1083.672,259.1687,665.8516,1225.951,1012.846,1586.486,1834.558,341409,31960,1111.454,804,46168.02,-2863.136,755.6064,942.3087,1736.529,1802.932,-1261.992,5192.527,47,667.551
776248,93587,2572.084,556,12629.21,3220.051,511.963,519.5731,309.9153,507.4972,6109.016,716.5656,293600,22869,4865.239,1598,23296.74,6374.846,1582.82,330.4531,1700.66,465.7634,12342.59,1139.174,47,672.99
601888,129111,1542.471,652,32480.43,1219.24,208.4668,349.9051,790.7171,1689.696,9023.073,-366.0316,233532,43739,2472.297,1321,59829.99,281.1352,653.7679,2037.65,1361.704,2216.601,12980.19,-450.5227,54,675.199
